should i wear uggs without socks?,I wouldn't recommend wearing warm fuzzy shoes without socks.
,"Hi there! You have to highlight your skills,
experiences and qualifications. You will have to prove that you can bring
something new to the organisation and that with your help, results can get
better in various ways. Once you have talked about it all, just leave things in
the hands of the employer!"
How would you rate this song from 1-10?,"https://www.youtube.com/watch?v=9WnrgdS-vhY
www.youtube.com/watch?v=tY0J13Igbl0"
,It is not something I would listen to.
Any 4 remedies to get rid of black neck?,Spam spam
What would you do if you were faced with this situation? (Details below. Sorry it's so long.),"My dad's still in the hospital but the doctors say his kidneys are stable as of yesterday. Here is my dilemma... My dad wants to sign himself out against medical advice (AMA) He says if i dont get him out of there he will crawl out Monday. I dont blame him, however on one side a cat scan shows (the doctor thinks) my dad had a mini stroke when he was home. He wants to run some more tests. My dad can not eat because everything burns his esophagus. He swallows water and ice just fine. Its not a swallowing problem. He hasn't eaten since December 31st and the dr wont give him nutrients through the IV because of his kidneys. I managed to get him to eat a yogurt and half of a nutrient filled fruit drink. For about two weeks he hasn't been able to walk. About a week he can't stand. I am working on helping him sit and stand right now. If he comes home I don't have the confidence in myself that I could care correctly for his chest catheter they put in for dialysis or the wound on his foot. I fear ""what if"" he falls out of bed being so weak still. On the other hand... I fear leaving him in the care of the hospital when I'm not there. So far I have caught 2 MAJOR mistakes 1 being another patients name on my dad's medicine (yes I checked the medicine was correct, just the patient was mixed up) and another time the nurse swore my dad had his oxygen on after he came back from a procedure. It didn't look on to me. She said no it's on. I said okay?.... Then she actually checked to see if it was on and IT WAS TURNED OFF! I don't know how long he was with out the oxygen! It caught my attention because his o2 numbers on the blood pressure machine was beeping and I noticed it beeped everytime it went below 90! They didnt catch the beep OR the oxygen being off! Yesterday when I went to see him (I was able to go an hour and a half after a phone call from the dr.) He sat in poop for an hour THAT I KNOW OF! Then his nurse lied to me saying she just checked him and changed him when he was sitting in the chair 45 mins before I showed up and he was fine. She did not know that THAT was the reason why the doctor called me... Because dad was refusing to sit in the chair for him.... I spoke to the Dr AFTER the chair and an hour and a half BEFORE I got there! She did not have him checked and tended to while in the chair 45 mins prior because then WHY would the Dr call me saying he is refusing to sit in a chair and he can't release him till he does! Grrrrr! What would you do.... Try to convince him to stay? Or be his ride home on his own AMA? How do you tell your parent no? And yet how do I feel he is in the best care at this negligent hospital!? I'm so torn!"
,"That's a tough one, Yin
Personally, I never had to parent my parents---and quite frankly, I probably would not have been able to do so successfully on my own due to the dynamics in my nuclear family before I left for college.
It's important to have options. Would a transfer to another hospital for treatment be possible?
Beyond that, I fear I have no useful advice.
If you have a few minutes to stop thinking about it, asking JC to help you arrange your thoughts in an approppriate way for evaluation usually works well for me."
,"I think you need to speak privately to your father's doctor and tell him exactly what you've told us.  Tell him that you feel compelled to report the nurse's negligence, and ask for his help in relocating your dad."
,"If you don't have a POA (Durable Power of Attorney) then there isn't a lot you can do on their behalf.
I went through this with both my father and just recently with my Father-in-Law. The problem is they get to the point where they still think they are fully cognitive and capable of making decisions regarding their own health and finances. It is important to for these discussion to happen long before you get to a point where you end up having to fight for ability to help your parent.
Currently, my Mother-in-Law has a nurse come in to check on her once a day. To get her up, and start the day, but my wife and I have to take care of her finances and get her to doctor's visits and grocery shop (for prepared foods because she can barely run a microwave).
This is not the best place to be in but you will make it through. If anything it has shown my wife and I that we need to have things in place long before we get to that point in our lives for our children."
,Good answers here i will pray for u
,"Yin, I am so sorry you and your family are dealing with this. If possible I would look for another facility. Either an assisted living facility or another hospital. Some place you can get a second opinion, and care you don't need to worry if they are doing everything right. Prayers for you, your father, and your family. ((((HUGS))))"
What would you do if you were faced with this situation? (Details below. Sorry it's so long.),"My dad's still in the hospital but the doctors say his kidneys are stable as of yesterday. Here is my dilemma... My dad wants to sign himself out against medical advice (AMA) He says if i dont get him out of there he will crawl out Monday. I dont blame him, however on one side a cat scan shows (the doctor thinks) my dad had a mini stroke when he was home. He wants to run some more tests. My dad can not eat because everything burns his esophagus. He swallows water and ice just fine. Its not a swallowing problem. He hasn't eaten since December 31st and the dr wont give him nutrients through the IV because of his kidneys. I managed to get him to eat a yogurt and half of a nutrient filled fruit drink. For about two weeks he hasn't been able to walk. About a week he can't stand. I am working on helping him sit and stand right now. If he comes home I don't have the confidence in myself that I could care correctly for his chest catheter they put in for dialysis or the wound on his foot. I fear ""what if"" he falls out of bed being so weak still. On the other hand... I fear leaving him in the care of the hospital when I'm not there. So far I have caught 2 MAJOR mistakes 1 being another patients name on my dad's medicine (yes I checked the medicine was correct, just the patient was mixed up) and another time the nurse swore my dad had his oxygen on after he came back from a procedure. It didn't look on to me. She said no it's on. I said okay?.... Then she actually checked to see if it was on and IT WAS TURNED OFF! I don't know how long he was with out the oxygen! It caught my attention because his o2 numbers on the blood pressure machine was beeping and I noticed it beeped everytime it went below 90! They didnt catch the beep OR the oxygen being off! Yesterday when I went to see him (I was able to go an hour and a half after a phone call from the dr.) He sat in poop for an hour THAT I KNOW OF! Then his nurse lied to me saying she just checked him and changed him when he was sitting in the chair 45 mins before I showed up and he was fine. She did not know that THAT was the reason why the doctor called me... Because dad was refusing to sit in the chair for him.... I spoke to the Dr AFTER the chair and an hour and a half BEFORE I got there! She did not have him checked and tended to while in the chair 45 mins prior because then WHY would the Dr call me saying he is refusing to sit in a chair and he can't release him till he does! Grrrrr! What would you do.... Try to convince him to stay? Or be his ride home on his own AMA? How do you tell your parent no? And yet how do I feel he is in the best care at this negligent hospital!? I'm so torn!"
,"That's a tough one, Yin
Personally, I never had to parent my parents---and quite frankly, I probably would not have been able to do so successfully on my own due to the dynamics in my nuclear family before I left for college.
It's important to have options. Would a transfer to another hospital for treatment be possible?
Beyond that, I fear I have no useful advice.
If you have a few minutes to stop thinking about it, asking JC to help you arrange your thoughts in an approppriate way for evaluation usually works well for me."
,"I think you need to speak privately to your father's doctor and tell him exactly what you've told us.  Tell him that you feel compelled to report the nurse's negligence, and ask for his help in relocating your dad."
,"If you don't have a POA (Durable Power of Attorney) then there isn't a lot you can do on their behalf.
I went through this with both my father and just recently with my Father-in-Law. The problem is they get to the point where they still think they are fully cognitive and capable of making decisions regarding their own health and finances. It is important to for these discussion to happen long before you get to a point where you end up having to fight for ability to help your parent.
Currently, my Mother-in-Law has a nurse come in to check on her once a day. To get her up, and start the day, but my wife and I have to take care of her finances and get her to doctor's visits and grocery shop (for prepared foods because she can barely run a microwave).
This is not the best place to be in but you will make it through. If anything it has shown my wife and I that we need to have things in place long before we get to that point in our lives for our children."
,Good answers here i will pray for u
,"Yin, I am so sorry you and your family are dealing with this. If possible I would look for another facility. Either an assisted living facility or another hospital. Some place you can get a second opinion, and care you don't need to worry if they are doing everything right. Prayers for you, your father, and your family. ((((HUGS))))"
How do I get a police officer to help me with a prank?,"If it is something that will put the cop or department in a bad light, they will not help. But your best bet is to just ask."
,You don't. They have better things to do with their lives then to play games.
,That's a good way to get arrested for criminal mischief.
,"You simply ask, if your polite about it, the worse they can do is say no. Although if they say yes they could lose their job and all their credibility  (meaning they can never be a cop again) best bet would be to just go buy a cop costume"
,like this video where a cop is involved
"How to tackle the question, “Why should we hire you?”?","If that question asked ""why should we hire u"" in the job interview.
u can answer that ur good at making customers satisfied.
u can also say that ur can show up on time and u can cover someone else shift if they not gonna be here.
u can also say that ur friendly clean and quick"
,Because I can do the job while others shirk?
,"Becuz I'm qualified(and u need the help?)
I'm honest and a team player.
I can help u and your company
(provided these things are true)"
,"It really depends on your situation. I pointed out how long I stayed with my previous employer, showing loytalty. I mentioned my ability to defuse upset customers. (The job involved collections, so there were bound to be upset customers.)"
,"Its very tough to tackle the question,
Yes, I am very anxious to start my career as early as possible. I find everything best about this organization. So, my instant is also very much willing to stat my job particular this company. Alright and especially, will any company offering any job for the very first time. I don't want to give it a miss.
Likewise you can answer in a systematic way, There are some mock interviews conducted in online like- InterviewBuddy https://interviewbuddy.in/ . InterviewBuddy is one such good platform where you can have sessions with the industry experts."
,"Hi there! You have to highlight your skills,
experiences and qualifications. You will have to prove that you can bring
something new to the organisation and that with your help, results can get
better in various ways. Once you have talked about it all, just leave things in
the hands of the employer!"
What would you do if you were faced with this situation? (Details below. Sorry it's so long.),"My dad's still in the hospital but the doctors say his kidneys are stable as of yesterday. Here is my dilemma... My dad wants to sign himself out against medical advice (AMA) He says if i dont get him out of there he will crawl out Monday. I dont blame him, however on one side a cat scan shows (the doctor thinks) my dad had a mini stroke when he was home. He wants to run some more tests. My dad can not eat because everything burns his esophagus. He swallows water and ice just fine. Its not a swallowing problem. He hasn't eaten since December 31st and the dr wont give him nutrients through the IV because of his kidneys. I managed to get him to eat a yogurt and half of a nutrient filled fruit drink. For about two weeks he hasn't been able to walk. About a week he can't stand. I am working on helping him sit and stand right now. If he comes home I don't have the confidence in myself that I could care correctly for his chest catheter they put in for dialysis or the wound on his foot. I fear ""what if"" he falls out of bed being so weak still. On the other hand... I fear leaving him in the care of the hospital when I'm not there. So far I have caught 2 MAJOR mistakes 1 being another patients name on my dad's medicine (yes I checked the medicine was correct, just the patient was mixed up) and another time the nurse swore my dad had his oxygen on after he came back from a procedure. It didn't look on to me. She said no it's on. I said okay?.... Then she actually checked to see if it was on and IT WAS TURNED OFF! I don't know how long he was with out the oxygen! It caught my attention because his o2 numbers on the blood pressure machine was beeping and I noticed it beeped everytime it went below 90! They didnt catch the beep OR the oxygen being off! Yesterday when I went to see him (I was able to go an hour and a half after a phone call from the dr.) He sat in poop for an hour THAT I KNOW OF! Then his nurse lied to me saying she just checked him and changed him when he was sitting in the chair 45 mins before I showed up and he was fine. She did not know that THAT was the reason why the doctor called me... Because dad was refusing to sit in the chair for him.... I spoke to the Dr AFTER the chair and an hour and a half BEFORE I got there! She did not have him checked and tended to while in the chair 45 mins prior because then WHY would the Dr call me saying he is refusing to sit in a chair and he can't release him till he does! Grrrrr! What would you do.... Try to convince him to stay? Or be his ride home on his own AMA? How do you tell your parent no? And yet how do I feel he is in the best care at this negligent hospital!? I'm so torn!"
,"That's a tough one, Yin
Personally, I never had to parent my parents---and quite frankly, I probably would not have been able to do so successfully on my own due to the dynamics in my nuclear family before I left for college.
It's important to have options. Would a transfer to another hospital for treatment be possible?
Beyond that, I fear I have no useful advice.
If you have a few minutes to stop thinking about it, asking JC to help you arrange your thoughts in an approppriate way for evaluation usually works well for me."
,"I think you need to speak privately to your father's doctor and tell him exactly what you've told us.  Tell him that you feel compelled to report the nurse's negligence, and ask for his help in relocating your dad."
,"If you don't have a POA (Durable Power of Attorney) then there isn't a lot you can do on their behalf.
I went through this with both my father and just recently with my Father-in-Law. The problem is they get to the point where they still think they are fully cognitive and capable of making decisions regarding their own health and finances. It is important to for these discussion to happen long before you get to a point where you end up having to fight for ability to help your parent.
Currently, my Mother-in-Law has a nurse come in to check on her once a day. To get her up, and start the day, but my wife and I have to take care of her finances and get her to doctor's visits and grocery shop (for prepared foods because she can barely run a microwave).
This is not the best place to be in but you will make it through. If anything it has shown my wife and I that we need to have things in place long before we get to that point in our lives for our children."
,Good answers here i will pray for u
,"Yin, I am so sorry you and your family are dealing with this. If possible I would look for another facility. Either an assisted living facility or another hospital. Some place you can get a second opinion, and care you don't need to worry if they are doing everything right. Prayers for you, your father, and your family. ((((HUGS))))"
Its natural blonde brownie day. And celebration of life day.what is a blonde brownie????????????????????????,"I LOVE life and will celebrate that everyday!!!! ??
This is a perfect time to celebrate life because my dad's kidneys seem to be on the road to recovery!!!!!! ????????"
,Life should be celebrated everyday!
,Blonde brownies (also called blondies) are usually more brown sugar and/or caramel tasting .... Delicious!
,"I don't understand Why it's Natural Blonde Brownie day . . .
Are there actual Brownies who dye themselves to look less chocolaty?
The only other option is a troop of Brunette Brownie girls are all stealing their mother's Hair coloring products . . . "
,"Blonde brownies are similar to the traditional brownies known almost everyone. In place of cocoa, brown sugar is used, giving it a sweet-tooth-satisfying molasses flavor!
Never have seen or tasted one.
Being alive is always worthy of celebration."
"I don't believe in fate, people drifting apart is inevitable. I feel like it's now or never.  School will end one day and we'll be split up. What do I do if I'm not allowed to date but I don't want to lose him?","Live in the moment.
None of us is guaranteed anything, celebrate what you have now, anything could change tomorrow."
,Don't worry about tomorrow.  Live today.
,"If we keep thinking of living the next day, you miss all the things that happening in the ""Now"" . . . Live in the ""Now""  . . . In the moment as ""Z"" said.
You only get one chance in this life, live it like you mean it."
What would you do if you were faced with this situation? (Details below. Sorry it's so long.),"My dad's still in the hospital but the doctors say his kidneys are stable as of yesterday. Here is my dilemma... My dad wants to sign himself out against medical advice (AMA) He says if i dont get him out of there he will crawl out Monday. I dont blame him, however on one side a cat scan shows (the doctor thinks) my dad had a mini stroke when he was home. He wants to run some more tests. My dad can not eat because everything burns his esophagus. He swallows water and ice just fine. Its not a swallowing problem. He hasn't eaten since December 31st and the dr wont give him nutrients through the IV because of his kidneys. I managed to get him to eat a yogurt and half of a nutrient filled fruit drink. For about two weeks he hasn't been able to walk. About a week he can't stand. I am working on helping him sit and stand right now. If he comes home I don't have the confidence in myself that I could care correctly for his chest catheter they put in for dialysis or the wound on his foot. I fear ""what if"" he falls out of bed being so weak still. On the other hand... I fear leaving him in the care of the hospital when I'm not there. So far I have caught 2 MAJOR mistakes 1 being another patients name on my dad's medicine (yes I checked the medicine was correct, just the patient was mixed up) and another time the nurse swore my dad had his oxygen on after he came back from a procedure. It didn't look on to me. She said no it's on. I said okay?.... Then she actually checked to see if it was on and IT WAS TURNED OFF! I don't know how long he was with out the oxygen! It caught my attention because his o2 numbers on the blood pressure machine was beeping and I noticed it beeped everytime it went below 90! They didnt catch the beep OR the oxygen being off! Yesterday when I went to see him (I was able to go an hour and a half after a phone call from the dr.) He sat in poop for an hour THAT I KNOW OF! Then his nurse lied to me saying she just checked him and changed him when he was sitting in the chair 45 mins before I showed up and he was fine. She did not know that THAT was the reason why the doctor called me... Because dad was refusing to sit in the chair for him.... I spoke to the Dr AFTER the chair and an hour and a half BEFORE I got there! She did not have him checked and tended to while in the chair 45 mins prior because then WHY would the Dr call me saying he is refusing to sit in a chair and he can't release him till he does! Grrrrr! What would you do.... Try to convince him to stay? Or be his ride home on his own AMA? How do you tell your parent no? And yet how do I feel he is in the best care at this negligent hospital!? I'm so torn!"
,"That's a tough one, Yin
Personally, I never had to parent my parents---and quite frankly, I probably would not have been able to do so successfully on my own due to the dynamics in my nuclear family before I left for college.
It's important to have options. Would a transfer to another hospital for treatment be possible?
Beyond that, I fear I have no useful advice.
If you have a few minutes to stop thinking about it, asking JC to help you arrange your thoughts in an approppriate way for evaluation usually works well for me."
,"I think you need to speak privately to your father's doctor and tell him exactly what you've told us.  Tell him that you feel compelled to report the nurse's negligence, and ask for his help in relocating your dad."
,"If you don't have a POA (Durable Power of Attorney) then there isn't a lot you can do on their behalf.
I went through this with both my father and just recently with my Father-in-Law. The problem is they get to the point where they still think they are fully cognitive and capable of making decisions regarding their own health and finances. It is important to for these discussion to happen long before you get to a point where you end up having to fight for ability to help your parent.
Currently, my Mother-in-Law has a nurse come in to check on her once a day. To get her up, and start the day, but my wife and I have to take care of her finances and get her to doctor's visits and grocery shop (for prepared foods because she can barely run a microwave).
This is not the best place to be in but you will make it through. If anything it has shown my wife and I that we need to have things in place long before we get to that point in our lives for our children."
,Good answers here i will pray for u
,"Yin, I am so sorry you and your family are dealing with this. If possible I would look for another facility. Either an assisted living facility or another hospital. Some place you can get a second opinion, and care you don't need to worry if they are doing everything right. Prayers for you, your father, and your family. ((((HUGS))))"
My boyfriend of 3 years has never done anything with another girl. Before we dated i had done things with other guys. Now he's telling me that it bothers him and he wants me to be okay with him doing a few things with other girls.. What should I do?,"I was recommended to this professional hacker, He helped me to expose all my partner’s secret that kept my marriage intact, who he was cheating with and all…He has video proofs, Contact him on: Dloxvichackskool @ g m a i l . Com contact phone : +1 6 1 9 6 3 2 5 9 2 6 his services include hacking (hint: Mobile phones, Instagram, Facebook, gmail,twitter, whatsapp, kik, bank account, iphones, MeetMe, Snapchat, WeChat, hike etc.), tracking, cloning ,upgrading result,preventing you from been hacked or tracked,Adding any important account to your account without account owner knowing he can also help you to spy on your spouse so that you'll know whether he or she is cheating. He can also teach hacking at a very affordable price."
My boyfriend of 3 years has never done anything with another girl. Before we dated i had done things with other guys. Now he's telling me that it bothers him and he wants me to be okay with him doing a few things with other girls.. What should I do?,"I was recommended to this professional hacker, He helped me to expose all my partner’s secret that kept my marriage intact, who he was cheating with and all…He has video proofs, Contact him on: Dloxvichackskool @ g m a i l . Com contact phone : +1 6 1 9 6 3 2 5 9 2 6 his services include hacking (hint: Mobile phones, Instagram, Facebook, gmail,twitter, whatsapp, kik, bank account, iphones, MeetMe, Snapchat, WeChat, hike etc.), tracking, cloning ,upgrading result,preventing you from been hacked or tracked,Adding any important account to your account without account owner knowing he can also help you to spy on your spouse so that you'll know whether he or she is cheating. He can also teach hacking at a very affordable price."
What does it mean when a minister shares bible verses with a women?,"Q ""What does it mean when a minister shares bible verses with a women?""
Errmmm... The ""women"" does one half of the verse and the minister does the other half?
For example if the verse is 1 Corinthians 11:6 “For if the woman be not
covered, let her also be shorn: But if it be a shame for a woman to be shorn or
shaven, let her be covered.” then the ""women"" does the uncovering and the minister does the shaving?
The uncovering would presumably be in the church. Not sure where the shaving would be though.
:) :) :)"
Are supply chain management strategies important?,"Of course they are. Supply chain management involves the oversight of goods from supplier to manufacturer to wholesaler to retailer to consumer. You don't want to waste money in this process. By being aware of all the things involved in the movement of the goods, you can keep costs down aloowing for a lower price to the consumer and a bigger profit for the companies."
,"Supply chain management touches major issues, including the rapid growth of multinational corporations and strategic partnerships; global expansion and sourcing; fluctuating gas prices and environmental concerns, each of these issues dramatically affects corporate strategy and bottom line"
,"Supply chain management is a major player in product customization, quality control, cost reductions, and speed-to-market. Therefore, an effective supply chain management strategy is important to implement in order to have a smooth transition of products throughout your supply chain. Please visit@ www.iiscm.org/"
What Is Chain Polymerization?,"The most important types of chain polymerization are radical polymerization, ionic polymerization, and insertion or coordination polymerization. Three steps characterize each method of polymerization. The start reaction or initiation, the growth reaction, and the termination reaction. The first reaction step, i.e. The initiation, is the formation of a reactive radical or ion9. This requires, in general higher activation energy than the subsequent growth reaction in which the monomers add to the growing chain. Consequently the growth rate is very much higher than the rate of initiation.    Nomer is activated and opened up so that it can for new bonds and then after the reaction with another monomer it becomes saturated e.g. Ethylene becomes –CH2-CH2–  Bi-functional monomers polymerize into linear chain molecules and a thermoplastic material is obtained. Monomer with two functional groups results in cross linked polymers, such as thermosets and elastomers. The termination step can occur either by two growing polymer chains combining with each other in radical polymerization or by addition of a terminating agent or a modifier whose function is to combine with the reactive end of the growing chain and thus saturate its reactivity. Modifying or termination agents can be by products or impurities or specifically added substance that reacts with the reactive end of the growing chains."
,Chain-growth polymerization or chain polymerization is a polymerization technique where unsaturated monomer molecules add onto the active site of a growing polymer chain one at a time. Growth of the polymer occurs only at one (or possibly more) ends. Addition of each monomer unit regenerates the active site. Pls visit@ www.iiscm.org/
,It is characterized by the self addition of monomer molecules to each other very rapidly through a chain. Their is no by product formed. The product is of same elemental composition as that of monomers. In chain polymerization bi functionality is provided due to the presence of double bond.
What would you do if you were faced with this situation? (Details below. Sorry it's so long.),"My dad's still in the hospital but the doctors say his kidneys are stable as of yesterday. Here is my dilemma... My dad wants to sign himself out against medical advice (AMA) He says if i dont get him out of there he will crawl out Monday. I dont blame him, however on one side a cat scan shows (the doctor thinks) my dad had a mini stroke when he was home. He wants to run some more tests. My dad can not eat because everything burns his esophagus. He swallows water and ice just fine. Its not a swallowing problem. He hasn't eaten since December 31st and the dr wont give him nutrients through the IV because of his kidneys. I managed to get him to eat a yogurt and half of a nutrient filled fruit drink. For about two weeks he hasn't been able to walk. About a week he can't stand. I am working on helping him sit and stand right now. If he comes home I don't have the confidence in myself that I could care correctly for his chest catheter they put in for dialysis or the wound on his foot. I fear ""what if"" he falls out of bed being so weak still. On the other hand... I fear leaving him in the care of the hospital when I'm not there. So far I have caught 2 MAJOR mistakes 1 being another patients name on my dad's medicine (yes I checked the medicine was correct, just the patient was mixed up) and another time the nurse swore my dad had his oxygen on after he came back from a procedure. It didn't look on to me. She said no it's on. I said okay?.... Then she actually checked to see if it was on and IT WAS TURNED OFF! I don't know how long he was with out the oxygen! It caught my attention because his o2 numbers on the blood pressure machine was beeping and I noticed it beeped everytime it went below 90! They didnt catch the beep OR the oxygen being off! Yesterday when I went to see him (I was able to go an hour and a half after a phone call from the dr.) He sat in poop for an hour THAT I KNOW OF! Then his nurse lied to me saying she just checked him and changed him when he was sitting in the chair 45 mins before I showed up and he was fine. She did not know that THAT was the reason why the doctor called me... Because dad was refusing to sit in the chair for him.... I spoke to the Dr AFTER the chair and an hour and a half BEFORE I got there! She did not have him checked and tended to while in the chair 45 mins prior because then WHY would the Dr call me saying he is refusing to sit in a chair and he can't release him till he does! Grrrrr! What would you do.... Try to convince him to stay? Or be his ride home on his own AMA? How do you tell your parent no? And yet how do I feel he is in the best care at this negligent hospital!? I'm so torn!"
,"That's a tough one, Yin
Personally, I never had to parent my parents---and quite frankly, I probably would not have been able to do so successfully on my own due to the dynamics in my nuclear family before I left for college.
It's important to have options. Would a transfer to another hospital for treatment be possible?
Beyond that, I fear I have no useful advice.
If you have a few minutes to stop thinking about it, asking JC to help you arrange your thoughts in an approppriate way for evaluation usually works well for me."
,"I think you need to speak privately to your father's doctor and tell him exactly what you've told us.  Tell him that you feel compelled to report the nurse's negligence, and ask for his help in relocating your dad."
,"If you don't have a POA (Durable Power of Attorney) then there isn't a lot you can do on their behalf.
I went through this with both my father and just recently with my Father-in-Law. The problem is they get to the point where they still think they are fully cognitive and capable of making decisions regarding their own health and finances. It is important to for these discussion to happen long before you get to a point where you end up having to fight for ability to help your parent.
Currently, my Mother-in-Law has a nurse come in to check on her once a day. To get her up, and start the day, but my wife and I have to take care of her finances and get her to doctor's visits and grocery shop (for prepared foods because she can barely run a microwave).
This is not the best place to be in but you will make it through. If anything it has shown my wife and I that we need to have things in place long before we get to that point in our lives for our children."
,Good answers here i will pray for u
,"Yin, I am so sorry you and your family are dealing with this. If possible I would look for another facility. Either an assisted living facility or another hospital. Some place you can get a second opinion, and care you don't need to worry if they are doing everything right. Prayers for you, your father, and your family. ((((HUGS))))"
Do you have any good luck charms? like a rabbit's foot? or just something your carry for luck?,No. I never have
,"I find that luck is just a description of Situations and Circumstances where one person is effected more positively then another.
It is not a force of ""Fate"" and is directly affected by one's pattern of behavior . . ."
"I don't believe in fate, people drifting apart is inevitable. I feel like it's now or never.  School will end one day and we'll be split up. What do I do if I'm not allowed to date but I don't want to lose him?","Live in the moment.
None of us is guaranteed anything, celebrate what you have now, anything could change tomorrow."
,Don't worry about tomorrow.  Live today.
,"If we keep thinking of living the next day, you miss all the things that happening in the ""Now"" . . . Live in the ""Now""  . . . In the moment as ""Z"" said.
You only get one chance in this life, live it like you mean it."
What are some exciting mobile applications that could help me in job search?,"If you are in search of Mobile applications, then you could definitely
opt for Hourlybility, as for today it’s one among those app that would lead you
to the path where you want to. It would help you provide various jobs that
provide wages at hourly basis. You can easily download it in your phone and use
it whenever and wherever you want. For more details you can visit
hourlybility.com."
Its natural blonde brownie day. And celebration of life day.what is a blonde brownie????????????????????????,"I LOVE life and will celebrate that everyday!!!! ??
This is a perfect time to celebrate life because my dad's kidneys seem to be on the road to recovery!!!!!! ????????"
,Life should be celebrated everyday!
,Blonde brownies (also called blondies) are usually more brown sugar and/or caramel tasting .... Delicious!
,"I don't understand Why it's Natural Blonde Brownie day . . .
Are there actual Brownies who dye themselves to look less chocolaty?
The only other option is a troop of Brunette Brownie girls are all stealing their mother's Hair coloring products . . . "
,"Blonde brownies are similar to the traditional brownies known almost everyone. In place of cocoa, brown sugar is used, giving it a sweet-tooth-satisfying molasses flavor!
Never have seen or tasted one.
Being alive is always worthy of celebration."
"I don't believe in fate, people drifting apart is inevitable. I feel like it's now or never.  School will end one day and we'll be split up. What do I do if I'm not allowed to date but I don't want to lose him?","Live in the moment.
None of us is guaranteed anything, celebrate what you have now, anything could change tomorrow."
,Don't worry about tomorrow.  Live today.
,"If we keep thinking of living the next day, you miss all the things that happening in the ""Now"" . . . Live in the ""Now""  . . . In the moment as ""Z"" said.
You only get one chance in this life, live it like you mean it."
Its natural blonde brownie day. And celebration of life day.what is a blonde brownie????????????????????????,"I LOVE life and will celebrate that everyday!!!! ??
This is a perfect time to celebrate life because my dad's kidneys seem to be on the road to recovery!!!!!! ????????"
,Life should be celebrated everyday!
,Blonde brownies (also called blondies) are usually more brown sugar and/or caramel tasting .... Delicious!
,"I don't understand Why it's Natural Blonde Brownie day . . .
Are there actual Brownies who dye themselves to look less chocolaty?
The only other option is a troop of Brunette Brownie girls are all stealing their mother's Hair coloring products . . . "
,"Blonde brownies are similar to the traditional brownies known almost everyone. In place of cocoa, brown sugar is used, giving it a sweet-tooth-satisfying molasses flavor!
Never have seen or tasted one.
Being alive is always worthy of celebration."
Do you paint all interior rooms?,"I do know do you use this technique
USe Wallpaper, poster etc"
,Makes them look better!
,"If you want finished looking walls you do. And if you are putting up wall paper, at least prime the walls with paint first. I had a house where they put the wallpaper directly on the drywall.  What a mess to take down, And it doubled the cost of of redoing the room."
,"Yes, and even the hallways that lead to them."
,No. I prefer rubber rooms.
,"Hi. I actually painted all the walls of my house after it
was built. I find it beautiful and in terms of aesthetic, it looks perfect to
me. I normally use a special paint that gives a plastic coating to the walls. I
just have to use a wet cloth to clean them whenever it is dirty. I even sprayed
the paint on the outdoor walls in the veranda. "
Can anyone learn a foreign language?,Yes. You should not expect it to be easy (it’s not) but anyone can learn a second language just like anyone can learn a first language.
,"Hello
there! I am sure that anyone can do so. It is not easy at the beginning, but
once you’ve got a good teacher and you put the time into it, it will be
alright. I remember the time I tried to learn Cantonese. Everything looked like
drawings at first, but after only one month, I was able to read and understand
the language. The main problem for me was the fact that I could not pronounce
the words properly. I suppose that if someone put an hour a day to learn a new
language, it is possible."
,"Hi there! Of course, with the number of specialised software that are out there, it’s very easy for anyone to learn any foreign language that they might be interested in. I have myself managed to learn Hindi, Chinese and Malay using one of these software. Do some research to spot the thing that will suite you best!"
,"Anyone can learn a new language with a bit or maybe more effort. It's important to find suitable methodology to do that and a motivation. This might sound obvious, but if you don’t have a good reason to learn a language, you are less likely to stay motivated over the long-run. Wanting to impress English-speakers with your French is not a very good reason — wanting to get to know a French person in their own language is another matter entirely. No matter your reason, once you’ve decided on a language, it’s crucial to commit.
123helpme plagiarism free"
Its natural blonde brownie day. And celebration of life day.what is a blonde brownie????????????????????????,"I LOVE life and will celebrate that everyday!!!! ??
This is a perfect time to celebrate life because my dad's kidneys seem to be on the road to recovery!!!!!! ????????"
,Life should be celebrated everyday!
,Blonde brownies (also called blondies) are usually more brown sugar and/or caramel tasting .... Delicious!
,"I don't understand Why it's Natural Blonde Brownie day . . .
Are there actual Brownies who dye themselves to look less chocolaty?
The only other option is a troop of Brunette Brownie girls are all stealing their mother's Hair coloring products . . . "
,"Blonde brownies are similar to the traditional brownies known almost everyone. In place of cocoa, brown sugar is used, giving it a sweet-tooth-satisfying molasses flavor!
Never have seen or tasted one.
Being alive is always worthy of celebration."
"why the hell am i SO AFRAID OF FALLING IN LOVE? I've tried to make myself be ok with the idea of being with someone but when it actually ends up happening, i freak out and leave","Next time you fall in love and start to get scared remember my saying...
No one knows what tomorrow holds
So if you can be happy today
Be happy today!"
,One day at a time
,"I think you are over thinking it. Most of my relationships lasted 6 months or less. It wasn't out of fear of falling in love, it was the knowledge that the person wasn't someone I wanted to make a life long commitment with. If you aren't sure after 6 months, then you will never be sure. You just take each relationship as a learning experience. You learn what you like and what you don't like. Then when you do meet the right person, you will know.
So many people rush into what they think is love and end up with a lot of problems later. Take your time and learn about the person and yourself. When the right one comes along, you won't run."
